(0.8835674747850417, 0.8733162238561697)
(0.8865995708279195, 0.8796274559915034)
(0.89039662673763, 0.8805903972349708)
(0.9005513276551467, 0.8856980007313796)
(0.9030876393865924, 0.8888321891944968)
(0.9114669924251827, 0.8965279392378853)
(0.9147445969706688, 0.8955390403434683)
(0.9154459307897668, 0.8963446556616023)
(0.9186597257855561, 0.8978514342221231)
(0.9164705850589143, 0.8956070273770278)
(0.9102453626109568, 0.8945026905348739)
(0.9153534979105545, 0.8996067856508094)
(0.9134979244951069, 0.8970194228989565)
(0.912326129910471, 0.8971724613952735)
(0.9164844360965146, 0.8977102944177741)
(0.9146421956696996, 0.896028986039722)
(0.9101203380606473, 0.8956532526309107)
(0.9118403105109678, 0.8972666126121424)
(0.911290440746059, 0.8991944588103984)
(0.9134240829032408, 0.8976670060666565)


Set to false:
(0.8786685111200244, 0.8677935493060802)
(0.8932922595644602, 0.8832636029932447)
(0.8982769976496372, 0.8856441516223691)
(0.8973851749712539, 0.888782426921502)
(0.9018654040808872, 0.8917949113147997)
(0.9030185812423879, 0.8928229333147167)
(0.9086450172750347, 0.8952695258842458)
(0.9099331093761536, 0.8984960073846769)
(0.9152447572953974, 0.8982658811283487)
(0.9152330898503387, 0.8992939212718033)
(0.9158545392947847, 0.900940604012256)
(0.9170189987803395, 0.8985074894348799)
(0.9157536301732063, 0.8978658851867914)
(0.9146756878679738, 0.8978068584344736)
(0.9139047954587045, 0.8967204049297767)
(0.9162913061885717, 0.8955332390025096)
(0.9145958022701779, 0.8971270175161947)
(0.9140400306606192, 0.8951356310545674)
(0.9145372187369023, 0.8965097948025362)
(0.90947778957021, 0.8919839994919024)


